file,label,duration_sec,tempo_est,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean,flatness_mean,onset_strength_mean,onset_strength_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
data\exported_loops\11 Velhas Histórias\11 Velhas Histórias_loop287.wav,1,1.509297052154195,112.34714673913044,0.19496814906597137,0.030981196090579033,0.05750621448863636,1260.6839045426352,1587.7194516069874,2476.1552290482955,0.0013711286010220647,1.0693798065185547,0.744717001914978,-119.74688720703125,18.58896827697754,150.19558715820312,14.414713859558105,-18.061580657958984,9.363797187805176,22.69563102722168,5.123861789703369,-13.342269897460938,5.315096378326416,-3.7082297801971436,4.537271022796631,-1.473531723022461,5.578584671020508,0.03648905083537102,5.093001842498779,-18.74475860595703,6.815655708312988,-0.13425113260746002,4.234406471252441,0.036504726856946945,6.298677921295166,-5.060006141662598,5.244546890258789,-6.8331522941589355,7.74879789352417
data\exported_loops\11 Velhas Histórias\11 Velhas Histórias_loop700.wav,3,3.053424036281179,103.359375,0.19530050456523895,0.03675642982125282,0.061664003314393936,1311.968890251639,1623.3831079397492,2550.6242231889205,0.0020898065995424986,1.163601279258728,0.8020491600036621,-115.6851806640625,21.883041381835938,149.6910858154297,21.585975646972656,-14.289993286132812,11.819847106933594,22.08024787902832,6.884514808654785,-15.120938301086426,6.568995475769043,-1.698420524597168,6.227747917175293,-1.3059428930282593,5.606146812438965,0.715227484703064,5.204649925231934,-15.782825469970703,7.1875,0.8978095650672913,5.584526062011719,-0.8188108801841736,6.226302146911621,-1.938835620880127,6.623539447784424,-4.211929798126221,7.661018371582031
data\exported_loops\12 Oh! Suzana\12 Oh! Suzana_loop121.wav,1,2.1942857142857144,112.34714673913044,0.1860329806804657,0.06542762368917465,0.09072265625,1970.8946043185065,2131.56494877022,4040.422234786184,0.010354246944189072,1.2865442037582397,1.2206395864486694,-74.97648620605469,40.475440979003906,106.50996398925781,21.144634246826172,-16.117813110351562,20.02778434753418,16.752655029296875,15.994085311889648,-18.97726821899414,8.933789253234863,-8.040674209594727,8.33054256439209,-8.954742431640625,7.645364761352539,-11.507634162902832,6.882458209991455,-17.844118118286133,9.830549240112305,2.723310947418213,8.492388725280762,-15.444779396057129,6.570561408996582,-14.638331413269043,6.005753517150879,-11.703691482543945,5.753573894500732
data\exported_loops\12 Oh! Suzana\12 Oh! Suzana_loop122.wav,2,2.2058956916099772,143.5546875,0.18592055141925812,0.06837078928947449,0.09014892578125,1914.4110408453453,2054.0933306013053,3794.5541381835938,0.008781393058598042,1.2953852415084839,1.2346527576446533,-72.47650146484375,42.995025634765625,108.59464263916016,20.282405853271484,-20.606426239013672,18.761083602905273,22.3498477935791,15.344374656677246,-15.500686645507812,7.32323694229126,-12.861445426940918,9.53691577911377,-12.841736793518066,10.346968650817871,-12.054557800292969,7.01847505569458,-13.356043815612793,9.187263488769531,4.314650058746338,8.008530616760254,-15.254429817199707,6.555990695953369,-14.735466957092285,6.222012996673584,-10.310075759887695,5.47001314163208
data\exported_loops\12 Oh! Suzana\12 Oh! Suzana_loop123.wav,1,2.2058956916099772,143.5546875,0.1853829026222229,0.06886138021945953,0.08740743001302083,1857.9831222197488,2012.2668502074478,3581.0165405273438,0.007824830710887909,1.231436848640442,1.2474994659423828,-75.46589660644531,43.705101013183594,109.72833251953125,19.735980987548828,-19.980003356933594,18.31194496154785,25.876113891601562,17.920801162719727,-14.891444206237793,7.7295684814453125,-16.819467544555664,9.575322151184082,-13.999972343444824,9.504006385803223,-8.940849304199219,7.227078914642334,-12.631857872009277,7.744479179382324,1.1561579704284668,10.361784934997559,-13.831099510192871,7.027878284454346,-11.879687309265137,6.949868679046631,-9.834750175476074,5.3362956047058105
data\exported_loops\12 Oh! Suzana\12 Oh! Suzana_loop89.wav,1,2.426485260770975,143.5546875,0.18770812451839447,0.062245484441518784,0.09221540178571429,1938.9776374194926,2138.9494137024444,4025.2734375,0.009457945823669434,1.2498708963394165,0.9137916564941406,-73.61959075927734,33.2838020324707,109.57989501953125,22.361351013183594,-11.007439613342285,19.975666046142578,14.099817276000977,15.71371841430664,-23.41518783569336,9.996993064880371,-7.827418327331543,8.732738494873047,-6.544642448425293,8.650552749633789,-9.0947904586792,6.414819717407227,-19.895023345947266,9.50809383392334,4.644598007202148,7.76576566696167,-11.602310180664062,5.133196830749512,-11.828700065612793,6.7673869132995605,-7.423958778381348,7.642693519592285
data\exported_loops\12 Oh! Suzana\12 Oh! Suzana_loop91.wav,1,2.449705215419501,143.5546875,0.18936476111412048,0.05915962532162666,0.0926490639740566,1913.691896103747,2072.16778299949,3787.202885465802,0.0076403492130339146,1.2212823629379272,0.9183758497238159,-68.31098175048828,33.706356048583984,107.79953002929688,21.25907325744629,-17.62386131286621,16.69654655456543,24.139972686767578,15.524537086486816,-15.916755676269531,8.634511947631836,-13.99174690246582,11.796492576599121,-15.264991760253906,10.808585166931152,-9.617008209228516,7.274631023406982,-15.269752502441406,7.931265830993652,4.411890983581543,9.411633491516113,-12.722587585449219,6.833846092224121,-12.02066421508789,5.189833641052246,-7.553624629974365,5.154938220977783
data\exported_loops\13 O Visitante\13 O Visitante_loop324.wav,1,1.9504761904761905,129.19921875,0.19287246465682983,0.04422374069690704,0.04161879595588235,943.2791091802948,1071.5304530868732,1848.815487132353,0.00023960911494214088,0.9828096032142639,0.6789274215698242,-147.79434204101562,37.88545608520508,199.7078857421875,19.561019897460938,-48.71637725830078,17.42182159423828,33.89788055419922,10.218514442443848,4.7344651222229,9.883544921875,0.14030200242996216,6.696693420410156,-3.76369309425354,8.504619598388672,-8.564861297607422,7.205080509185791,-7.450267314910889,7.13038444519043,-6.488420009613037,6.787783622741699,-9.162012100219727,6.373795509338379,-6.028359889984131,5.239249229431152,-4.5490827560424805,5.354484558105469
data\exported_loops\13 O Visitante\13 O Visitante_loop325.wav,1,1.9272562358276644,129.19921875,0.19353576004505157,0.04082132503390312,0.045962379092261904,980.6526879986077,1113.4034605306322,1873.13232421875,0.00038803427014499903,1.0033633708953857,0.7015416622161865,-139.1620635986328,42.40435028076172,196.75469970703125,22.682954788208008,-44.72488784790039,16.718669891357422,30.604915618896484,9.455938339233398,-0.48421511054039,15.949784278869629,0.26858630776405334,5.81581974029541,-3.2786364555358887,8.1140718460083,-6.596447944641113,6.496612548828125,-12.207833290100098,13.234113693237305,-0.5742384791374207,10.208147048950195,-6.885852813720703,7.359281063079834,-5.303257465362549,4.3846893310546875,-2.5027248859405518,5.522630214691162
data\exported_loops\13 O Visitante\13 O Visitante_loop326.wav,1,1.9040816326530612,123.046875,0.1936151683330536,0.03935239836573601,0.04928699171686747,1009.3711597608509,1152.8004581122216,1926.5730892319277,0.0005446912837214768,0.9981628656387329,0.6665543913841248,-132.0617218017578,47.39366149902344,192.44676208496094,24.838645935058594,-40.67763900756836,13.62855052947998,26.68787384033203,7.5489821434021,-5.4265618324279785,18.323013305664062,-0.3076501786708832,5.66055965423584,-3.5933356285095215,8.271018981933594,-5.82820463180542,6.49259090423584,-15.848910331726074,14.817707061767578,5.046474456787109,8.907272338867188,-3.9305264949798584,5.988299369812012,-4.847613334655762,4.293124675750732,-2.9608728885650635,5.461892604827881
